Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,R6GI79.7,145.750000,-,0.600000,Tone,79.7,79.7,023,NN,FM,5.00,,,,,,
2,R6LR 77.0,145.750000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
3,R7VIT 123.0,145.775000,-,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,,,,,
4,R2VIT 123.0,145.650000,-,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,,,,,
5,R1BU 77.0,145.625000,-,0.600000,Tone,77.0,77.0,023,NN,FM,5.00,,,,,,
6,R2BU 77.0,145.650000,-,0.600000,Tone,77.0,77.0,023,NN,FM,5.00,,,,,,
7,R2BU 88.5,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
8,R3X,145.687500,-,0.600000,,79.7,79.7,023,NN,FM,5.00,,,,,,
9,R2CAN 123.0,145.650000,-,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,,,,,
10,R3CAN 67.0,145.650000,-,0.600000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
11,R7PA885,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
12,R3LE,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
13,R3NA,145.675000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
14,R4AV,145.700000,-,0.600000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
15,R4MA,145.700000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
16,R5LR,145.725000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
17,RU70S,438.650000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,RU70BU,438.650000,-,7.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
19,RU71CE,438.675000,-,7.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
20,RU73HU,438.725000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,RU73NA,438.725000,-,7.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
22,RU73A,438.725000,-,7.600000,Tone,79.7,88.5,023,NN,FM,5.00,,,,,,
23,RU74BI,438.750000,-,7.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
24,RU78AV,438.850000,-,7.600000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
25,RU81SS,438.925000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,RU82BI,438.950000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,RU84BI,439.000000,-,7.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
28,RU91LE,439.175000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,RU92AV,439.200000,-,7.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
30,RU93LE,439.225000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,RU94BI,439.250000,-,7.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
21,RU98NA,439.350000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,RU00BU,439.400000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,RU00BI,439.400000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,RU70S,438.650000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,RU72BI,438.700000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,RU74BI,438.750000,-,7.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
38,RU74L,438.750000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,RU78S,438.850000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,RU79B,438.875000,-,7.600000,,123.0,88.5,023,NN,FM,5.00,,,,,,
41,RU83O,438.975000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,RU83B,438.975000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,RU87A,439.075000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,RU89B,439.125000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,RU00BU,439.400000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,RU81,438.925000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
